date,n_species,n_detections
2026-01-26,25,438
2026-01-27,27,288
2026-01-28,21,427
2026-01-29,17,113
2026-01-30,25,523
2026-01-31,23,406
2026-02-01,31,669
2026-02-02,27,565
2026-02-03,29,189
2026-02-04,23,305
2026-02-05,29,476
2026-02-06,25,494
2026-02-07,24,527
2026-02-08,32,948
2026-02-09,29,644
2026-02-10,28,728
2026-02-11,15,335
2026-02-12,22,237
2026-02-13,31,483
2026-02-14,36,667
2026-02-15,27,265
2026-02-16,22,277
2026-02-17,20,354
2026-02-18,46,1130
2026-02-19,19,286
2026-02-20,27,663
2026-02-21,25,836
2026-02-22,26,851
