species,n_detections,n_days,occupancy_prop,category
House Sparrow,390,2,0.6666666666666666,core
Eurasian Jackdaw,344,2,0.6666666666666666,core
Dunnock,288,2,0.6666666666666666,core
Eurasian Blue Tit,154,2,0.6666666666666666,core
Great Tit,89,2,0.6666666666666666,core
Carrion Crow,36,2,0.6666666666666666,core
Eurasian Wren,29,2,0.6666666666666666,core
Eurasian Magpie,23,2,0.6666666666666666,core
Common Chaffinch,15,2,0.6666666666666666,core
Common Wood-Pigeon,14,2,0.6666666666666666,core
Eurasian Blackbird,10,1,0.3333333333333333,regular
Tawny Owl,9,1,0.3333333333333333,regular
Short-toed Treecreeper,8,2,0.6666666666666666,core
Common Buzzard,7,1,0.3333333333333333,regular
Greater White-fronted Goose,7,2,0.6666666666666666,core
Mallard,5,2,0.6666666666666666,core
Common Snipe,4,2,0.6666666666666666,core
European Robin,3,2,0.6666666666666666,core
Long-tailed Tit,3,2,0.6666666666666666,core
Eurasian Collared-Dove,2,1,0.3333333333333333,regular
Eurasian Coot,2,1,0.3333333333333333,regular
European Greenfinch,2,1,0.3333333333333333,regular
Graylag Goose,2,1,0.3333333333333333,regular
Redwing,2,2,0.6666666666666666,core
Eurasian Jay,1,1,0.3333333333333333,regular
Eurasian Nuthatch,1,1,0.3333333333333333,regular
Gray Heron,1,1,0.3333333333333333,regular
Hawfinch,1,1,0.3333333333333333,regular
Song Thrush,1,1,0.3333333333333333,regular
